amount,change,price,time,type,volume,xtim
2665.0,--,26.65,2016-11-18 14:25:36,buy,1.0,2016-11-18 14:25:36
506909.0,--,26.65,2016-11-18 14:25:33,sell,190.0,2016-11-18 14:25:33
13325.0,-0.02,26.65,2016-11-18 14:25:21,sell,5.0,2016-11-18 14:25:21
53340.0,--,26.67,2016-11-18 14:25:00,buy,20.0,2016-11-18 14:25:00
2667.0,--,26.67,2016-11-18 14:24:30,buy,1.0,2016-11-18 14:24:30
2667.0,0.02,26.67,2016-11-18 14:24:21,buy,1.0,2016-11-18 14:24:21
13325.0,--,26.65,2016-11-18 14:24:18,sell,5.0,2016-11-18 14:24:18
31980.0,--,26.65,2016-11-18 14:24:15,sell,12.0,2016-11-18 14:24:15
774955.0,0.04,26.65,2016-11-18 14:23:45,buy,290.0,2016-11-18 14:23:45
85152.0,--,26.61,2016-11-18 14:23:39,sell,32.0,2016-11-18 14:23:39
2661.0,-0.04,26.61,2016-11-18 14:23:36,sell,1.0,2016-11-18 14:23:36
263835.0,0.03,26.65,2016-11-18 14:23:33,buy,99.0,2016-11-18 14:23:33
7986.0,--,26.62,2016-11-18 14:23:30,buy,3.0,2016-11-18 14:23:30
26620.0,--,26.62,2016-11-18 14:23:27,buy,10.0,2016-11-18 14:23:27
37268.0,--,26.62,2016-11-18 14:23:24,buy,14.0,2016-11-18 14:23:24
535062.0,0.01,26.62,2016-11-18 14:23:09,buy,201.0,2016-11-18 14:23:09
13305.0,-0.01,26.61,2016-11-18 14:22:45,sell,5.0,2016-11-18 14:22:45
7986.0,--,26.62,2016-11-18 14:22:39,buy,3.0,2016-11-18 14:22:39
26620.0,-0.02,26.62,2016-11-18 14:22:30,sell,10.0,2016-11-18 14:22:30
2664.0,0.02,26.64,2016-11-18 14:22:21,norm,1.0,2016-11-18 14:22:21
